Estado;Localidade;CEP Inicial
AC;Acrelândia;69945000
AC;Assis Brasil;69935000
AC;Brasiléia;69932000
AC;Bujari;69926000
AC;Capixaba;69931000
AC;Cruzeiro do Sul;69980000
AC;Epitaciolândia;69934000
AC;Feijó;69960000
AC;Jordão;69975000
AC;Mâncio Lima;69990000
AC;Manoel Urbano;69950000
AC;Marechal Thaumaturgo;69983000
AC;Plácido de Castro;69928000
AC;Porto Acre;69927000
AC;Porto Walter;69982000
AC;Rio Branco;69900001
AC;Rio Branco;69900001
AC;Rodrigues Alves;69985000
AC;Santa Rosa do Purus;69955000
AC;Sena Madureira;69940000
AC;Senador Guiomard;69925000
AC;Tarauacá;69970000
AC;Xapuri;69930000
AL;Água Branca;57490000
AL;Anadia;57660000
AL;Arapiraca;57300001
AL;Arapiraca;57300001
AL;Atalaia;57690000
AL;Barra de Santo Antônio;57925000
AL;Barra de São Miguel;57180000
AL;Batalha;57420000
AL;Belém;57630000
AL;Belo Monte;57435000
AL;Boca da Mata;57680000
AL;Branquinha;57830000
AL;Cacimbinhas;57570000
AL;Cajueiro;57770000
AL;Campestre;57968000
AL;Campo Alegre;57250000
AL;Campo Grande;57350000
AL;Canapi;57530000
AL;Capela;57780000
AL;Carneiros;57535000
AL;Chã Preta;57760000
AL;Coité do Nóia;57325000
AL;Colônia Leopoldina;57975000
AL;Coqueiro Seco;57140000
AL;Coruripe;57230000
AL;Craíbas;57320000
AL;Delmiro Gouveia;57480000
AL;Dois Riachos;57560000
AL;Estrela de Alagoas;57625000
AL;Feira Grande;57340000
AL;Feliz Deserto;57220000
AL;Flexeiras;57995000
AL;Girau do Ponciano;57360000
AL;Ibateguara;57890000
AL;Igaci;57620000
AL;Igreja Nova;57280000
AL;Inhapi;57545000
AL;Jacaré dos Homens;57430000
AL;Jacuípe;57960000
AL;Japaratinga;57950000
AL;Jaramataia;57425000
AL;Jequiá da Praia;57255000
AL;Joaquim Gomes;57980000
AL;Jundiá;57965000
AL;Junqueiro;57270000
AL;Lagoa da Canoa;57330000
AL;Limoeiro de Anadia;57260000
AL;Maceió;57000001
AL;Maceió;57000001
AL;Major Isidoro;57580000
AL;Mar Vermelho;57730000
AL;Maragogi;57955000
AL;Maravilha;57520000
AL;Marechal Deodoro;57160000
AL;Maribondo;57670000
AL;Mata Grande;57540000
AL;Matriz de Camaragibe;57910000
AL;Messias;57990000
AL;Minador do Negrão;57615000
AL;Monteirópolis;57440000
AL;Murici;57820000
AL;Novo Lino;57970000
AL;Olho D'Água das Flores;57442000
AL;Olho D'Água do Casado;57470000
AL;Olho D'Água Grande;57390000
AL;Olivença;57550000
AL;Ouro Branco;57525000
AL;Palestina;57410000
AL;Palmeira dos Índios;57600001
AL;Palmeira dos Índios;57600001
AL;Pão de Açúcar;57400000
AL;Pariconha;57475000
AL;Paripueira;57935000
AL;Passo de Camaragibe;57930000
AL;Paulo Jacinto;57740000
AL;Penedo;57200000
AL;Piaçabuçu;57210000
AL;Pilar;57150000
AL;Pindoba;57720000
AL;Piranhas;57460000
AL;Poço das Trincheiras;57510000
AL;Porto Calvo;57900000
AL;Porto de Pedras;57945000
AL;Porto Real do Colégio;57290000
AL;Quebrangulo;57750000
AL;Rio Largo;57100000
AL;Roteiro;57257000
AL;Santa Luzia do Norte;57130000
AL;Santana do Ipanema;57500000
AL;Santana do Mundaú;57840000
AL;São Brás;57380000
AL;São José da Laje;57860000
AL;São José da Tapera;57445000
AL;São Luís do Quitunde;57920000
AL;São Miguel dos Campos;57240001
AL;São Miguel dos Campos;57240001
